queryOrPage,targetUrl,intentCategory,impressions,clicks,ctr,averagePosition,dataStatus
"mgnrega 2026 reform 125 days",/story/mgnrega-reform,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"mgnrega live status policy tracker",/trackers/mgnrega,Tracking / Status,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"upi 123pay limit 10000 2026",/story/digital-payments-boom,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"upi transaction volume tracker 2026",/trackers/upi,Tracking / Volume,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"pmfby claim settlement delay cag report",/story/pm-fasal-bima-claims,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"pmfby live policy tracker crop insurance",/trackers/pmfby,Tracking / Status,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"semiconductor pli plant status sanand",/story/semiconductor-pli,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"india semiconductor mission live tracker",/trackers/semiconductor,Tracking / Industry,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"policy trackers india public schemes",/trackers,Hub Discovery,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
"indian economy explainers and trackers",/topic/economy,Topic Hub,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,PRODUCTION ACCESS REQUIRED
