Claim ID,Story,Statement,Registry Status,Evidence Count,Status,Action
claim-mgnrega-reform-0,mgnrega-reform,MGNREGA 2005 remains the active statutory law governing rural wage employment in India.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-mgnrega-reform-1,mgnrega-reform,The statutory guarantee for rural wage employment is 100 days per household.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-digital-payments-boom-0,digital-payments-boom,UPI has eliminated the urban-rural digital payments divide.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-pm-fasal-bima-claims-0,pm-fasal-bima-claims,Insurance companies are deliberately delaying claim settlements to earn interest.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-pm-fasal-bima-claims-1,pm-fasal-bima-claims,States are not contributing their share of premium on time.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-semiconductor-pli-0,semiconductor-pli,"The ₹76,000 crore semiconductor PLI outlay represents total private factory investment.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-semiconductor-pli-1,semiconductor-pli,Commercial semiconductor production has commenced in India under the PLI scheme.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-dpdp-bill-0,dpdp-bill,India's DPDP Act imposes the highest data privacy fines in the world.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-dpdp-bill-1,dpdp-bill,The DPDP Act exempts government agencies from all provisions.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-rbi-repo-rate-0,rbi-repo-rate,The policy repo rate of the Reserve Bank of India is 6.50%.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-rbi-repo-rate-1,rbi-repo-rate,The inflation targeting framework has successfully kept CPI inflation within the 2-6% band since 2016.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-climate-finance-0,climate-finance,India is on track to achieve 500 GW of renewable energy capacity by 2030.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-climate-finance-1,climate-finance,Developed countries have failed to deliver the promised $100 billion in annual climate finance.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-groundwater-depletion-0,groundwater-depletion,62% of India's districts are over-exploited for groundwater nationwide.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
