surfaceArea,componentName,filePath,lineCount,designState,accessibilityStatus
Navigation,Global Navigation Bar,components/navigation/Navigation.tsx,124,Editorial Polish (Elevated),PASS (WCAG AA)
Navigation,Masthead Logo Wordmark,components/navigation/Logo.tsx,32,Editorial Polish (Elevated),PASS (WCAG AA)
Layout,Global Footer,components/layout/Footer.tsx,227,Editorial Polish (Elevated),PASS (WCAG AA)
Homepage,Hero Section,components/home/HeroSection.tsx,209,Editorial Polish (Elevated),PASS (WCAG AA)
Homepage,Short Version Grid,components/home/ShortVersionGrid.tsx,168,Editorial Polish (Elevated),PASS (WCAG AA)
Homepage,Deep Dives Grid,components/home/DeepDivesGrid.tsx,184,Editorial Polish (Elevated),PASS (WCAG AA)
Homepage,Topic Hubs Directory,components/home/TopicHubs.tsx,112,Editorial Polish (Elevated),PASS (WCAG AA)
Story,Story Presentation Shell,components/rxs/StoryShell.tsx,568,Editorial Polish (Elevated),PASS (WCAG AA)
Evidence,Evidence Provenance Trail,components/evidence/EvidenceTrail.tsx,290,Editorial Polish (Elevated),PASS (WCAG AA)
Trackers,Generic Policy Tracker,components/trackers/GenericTracker.tsx,275,Editorial Polish (Elevated),PASS (WCAG AA)
Trackers,Quantitative Time-Series Chart,components/trackers/TimeSeriesChart.tsx,240,Editorial Polish (Elevated),PASS (WCAG AA)
Documents,Primary Document Preview Modal,components/documents/DocumentPreviewModal.tsx,152,Editorial Polish (Elevated),PASS (WCAG AA)
Search,Unified Search Dialog,components/search/UnifiedSearchDialog.tsx,215,Editorial Polish (Elevated),PASS (WCAG AA)
Retention,Story End Newsletter CTA,components/retention/StoryNewsletterCTA.tsx,118,Editorial Polish (Elevated),PASS (WCAG AA)
