queryCluster,targetUrl,intentCategory,impressions,clicks,ctr,averagePosition,accessStatus
"mgnrega 125 days reform 2026",/story/mgnrega-reform,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"mgnrega budget expenditure live tracker",/trackers/mgnrega,Tracking / Status,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"upi 123pay limit 10000 circular 209",/story/digital-payments-boom,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"upi transaction volume decadal trend 2026",/trackers/upi,Tracking / Volume,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"pmfby claim settlement delay cag audit",/story/pm-fasal-bima-claims,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"pmfby penal interest 12 percent guidelines",/trackers/pmfby,Tracking / Status,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"semiconductor pli fab status dholera morigaon",/story/semiconductor-pli,Core Explanatory,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"india semiconductor mission investment tracker",/trackers/semiconductor,Tracking / Industry,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"policy trackers india statutory welfare",/trackers,Hub Discovery,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
"indian economic policy explainers",/topic/economy,Topic Hub,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,BLOCKED — ACCESS REQUIRED
