entityScope,searchQueryOrUrl,dimensionType,projectedImpressions,projectedClicks,projectedCtr,averagePosition,gscProductionStatus
Site Overall,https://thebreakdown.in,Global Search Performance,18500,840,4.54%,14.2,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Query Demand,mgnrega 125 days wage hike 2025,High Intent Policy Query,3200,240,7.50%,4.8,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Query Demand,upi monthly transaction volume rbi circular,High Intent Quantitative Query,2800,180,6.43%,5.2,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Query Demand,india semiconductor mission approved fab subsidies,Emerging Policy Search,2100,135,6.43%,6.1,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Query Demand,pm fasal bima yojana 12 percent penal interest,High Value Statutory Query,1900,110,5.79%,5.9,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Query Demand,foundations of indian foreign policy 1947 to 1962,Evergreen Academic Query,4500,120,2.67%,11.4,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Priority Page,/trackers/mgnrega,Living Policy Tracker,4100,290,7.07%,4.6,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Priority Page,/trackers/upi,Living Policy Tracker,3600,210,5.83%,5.1,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Priority Page,/trackers/semiconductor,Living Policy Tracker,2900,160,5.52%,5.8,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Priority Page,/trackers/pmfby,Living Policy Tracker,2400,130,5.42%,5.5,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
Priority Page,/series/foundations-1947-1962/volume/the-nehruvian-era/chapter/indias-inheritance,Founding Chapter Explainer,5500,150,2.73%,10.8,NOT VERIFIED — PRODUCTION ACCESS REQUIRED
