url,targetQuery,currentH1,directAnswerQuality,evidenceDepth,internalLinksInbound,entityRelationships,trackerLinked,documentLinked,freshnessStatus,recommendedAction
/story/mgnrega-reform,"mgnrega 2026 125 days reform repeal act",MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained,HIGH (Short version + Key numbers),HIGH (EvidenceTrail + 4 Claims),14,ministry-of-rural-development,YES (/trackers/mgnrega),YES (Act No 18 & S.O. 2415(E)),CURRENT (2026-07-23),MAINTAIN
/story/digital-payments-boom,"upi 123pay limit 10000 rural transactions growth",Digital Payments in Rural India: UPI's Unseen Revolution,HIGH (Takeaway + Key numbers),HIGH (EvidenceTrail + Circular 209),12,npci; rbi,YES (/trackers/upi),YES (RBI SDRP Oct 2024),CURRENT (2026-06-12),MAINTAIN
/story/semiconductor-pli,"india semiconductor mission pli fab construction status",India's ₹76000 Cr Semiconductor Bet: From Sanand to Dholera,HIGH (Short version + Timeline),HIGH (EvidenceTrail + Cabinet Dec),11,meity; tata-electronics,YES (/trackers/semiconductor),YES (ISM Guidelines 2022),CURRENT (2026-08-30),MAINTAIN
/story/rbi-monetary-policy,"rbi repo rate decision stance mpc forecast",RBI Monetary Policy: Repo Rate & Inflation Framework,HIGH (Short version + MPC breakdown),HIGH (EvidenceTrail + MPC Resolution),10,rbi; ministry-of-finance,NO,YES (MPC Resolution Oct 2024),CURRENT (2026-06-10),MAINTAIN
/trackers/mgnrega,"mgnrega current status 2026 live policy tracker",MGNREGA → VB-G RAM G Act 2025,HIGH (Operational status card),HIGH (Ledger + TimeSeries + Docs),18,ministry-of-rural-development,SELF,YES (5 primary documents),CURRENT (2026-07-23),MAINTAIN
/trackers/upi,"upi volume value live statistics tracker 2026",Unified Payments Interface (UPI) & Digital Rails Tracker,HIGH (Operational status card),HIGH (Ledger + TimeSeries + Docs),16,npci; rbi,SELF,YES (3 primary documents),CURRENT (2026-08-30),MAINTAIN
/trackers/semiconductor,"india semiconductor plant status live tracker",India Semiconductor Mission (ISM) & PLI Tracker,HIGH (Operational status card),HIGH (Ledger + TimeSeries + Docs),15,meity; ministry-of-finance,SELF,YES (5 primary documents),CURRENT (2026-08-30),MAINTAIN
/topic/economy,"indian economy policy explainers and trackers",Economy & Welfare,HIGH (Quality score + Hub grid),HIGH (Trackers + Story groups),22,ministry-of-finance; mord,YES (mgnrega),YES (Linked via stories),CURRENT (2026-08-31),MAINTAIN
/topic/digital-payments,"digital payments upi npci fintech policy",Digital Payments & Fintech,HIGH (Quality score + Hub grid),HIGH (Trackers + Story groups),14,npci; rbi,YES (upi),YES (Linked via stories),CURRENT (2026-08-31),MAINTAIN
/trackers,"policy trackers directory india legislative changes",Policy & Issue Trackers,HIGH (Directory overview + Statuses),HIGH (Directory of 3 trackers),25,Cross-entity,SELF (Hub),YES (All tracker docs),CURRENT (2026-08-31),MAINTAIN
