Content ID,Proposed title,Query,Intent,Pillar,Topic,Format,Existing URL,Action,Evidence requirement,Primary sources,Internal links,Search opportunity,Authority potential,Evergreen value,Monetization relevance,Effort,Priority,Owner,Status
CNT-HP-01,High Priority Issue Guide 1,query hp 1,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-02,High Priority Issue Guide 2,query hp 2,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-03,High Priority Issue Guide 3,query hp 3,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-04,High Priority Issue Guide 4,query hp 4,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-05,High Priority Issue Guide 5,query hp 5,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-06,High Priority Issue Guide 6,query hp 6,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-07,High Priority Issue Guide 7,query hp 7,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-08,High Priority Issue Guide 8,query hp 8,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-09,High Priority Issue Guide 9,query hp 9,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-10,High Priority Issue Guide 10,query hp 10,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
