Page Type,Canonical URL Pattern,Title Pattern,H1 Pattern,Metadata Requirements,Breadcrumbs Structure,Schema.org Types,Internal Link Requirements,Sitemap Inclusion,Indexability Rules
Homepage,https://thebreakdown.in/,The Breakdown — India Explained,The Breakdown — India Explained,Description: Investigative and data-driven explanations of India's governance,Home,WebSite,Must link to lead story + top 4 topics + trust dashboard,YES,index
Stories Index,https://thebreakdown.in/stories,All Briefings & Explainers — The Breakdown,All Briefings & Explainers,Description: Chronological feed of briefings and explainers.,Home > Briefings,WebPage,Must link to all published briefings (paginated),YES,index
Topics Index,https://thebreakdown.in/topics,All Topics — The Breakdown,All Topics,Description: Explore topics covered by The Breakdown's knowledge graph.,Home > Topics,WebPage,Must link to all Tier 1 and Tier 2 topic hubs,YES,index
Topic Hub,https://thebreakdown.in/topic/[slug],"[Topic Name] Hub — The Breakdown",[Topic Name] Hub,Description: Key briefings and cornerstone explainers on [Topic].,Home > Topics > [Topic],WebPage,Must link to latest briefings + cornerstone explainers + entities,YES,index
Entity Profile,https://thebreakdown.in/entity/[slug],"[Entity Name] Profile — The Breakdown",[Entity Name] Profile,Description: Contextual dossier and statement tracking for [Entity].,Home > Profiles > [Entity],WebPage,Must link to associated articles + documents,YES (if >2 links),index
Series Index,https://thebreakdown.in/series,Founding Collections — The Breakdown,Founding Collections,Description: Flagship series explaining India's core infrastructure.,Home > Library,WebPage,Must link to all series and volumes,YES,index
Volume Page,https://thebreakdown.in/series/[coll]/volume/[vol],"[Volume Title] — The Breakdown",[Volume Title],Description: Curated chapters of [Volume Title].,Home > Library > [Series] > [Volume],WebPage,Must link to all chapters in volume + parent series,YES,index
Chapter Page,https://thebreakdown.in/series/[coll]/volume/[vol]/chapter/[slug],"[Chapter Title] — The Breakdown",[Chapter Title],Description: Long-form canonical analysis of [Chapter Title].,Home > Library > [Series] > [Volume] > [Chapter],Article + BreadcrumbList + WebPage,Must link to next/prev chapter + citations + referenced entities,YES,index
Standalone Story,https://thebreakdown.in/story/[slug],"[Story Title] — The Breakdown",[Story Title],Description: Briefing and analysis of [Story Title].,Home > Briefings > [Story],NewsArticle + BreadcrumbList + WebPage,Must link to primary topic hub + cited sources + entities,YES,index
Fix Solution,https://thebreakdown.in/fix/[slug],"[Fix Title] — The Breakdown",[Fix Title],Description: Systemic policy solution for [Fix Title].,Home > Solutions > [Fix],WebPage,Must link to related stories + primary topic hub,YES,index
Trust Dashboard,https://thebreakdown.in/trust,Trust & Verification Dashboard — The Breakdown,Trust & Verification Dashboard,Description: Live accuracy metrics and correction logs.,Home > Trust,WebPage,Must link to editorial constitution + sourcing standards,YES,index
Methodology,https://thebreakdown.in/methodology,Methodology & Verification — The Breakdown,Methodology & Verification,Description: How we verify claims and calculate confidence ratings.,Home > Sourcing,WebPage,Must link to trust dashboard + editorial constitution,YES,index
Constitution,https://thebreakdown.in/editorial-constitution,Editorial Constitution — The Breakdown,Editorial Constitution,Description: Supreme governing rules for our publication standards.,Home > Constitution,WebPage,Must link to sourcing standards + trust dashboard,YES,index
Data Playground,https://thebreakdown.in/data,Data Playground — The Breakdown,Data Playground,Description: Access open-source datasets and research packages.,Home > Data,WebPage,Must link to sourcing standards,YES,index
Investigations Index,https://thebreakdown.in/investigations,Investigations Index — The Breakdown,Investigations Index,Description: List of original collaborative investigations.,Home > Investigations,WebPage,Must link to all investigations,YES,index
Utility / Gated Paths,https://thebreakdown.in/[path],N/A,N/A,N/A,N/A,None,None,NO,noindex
