url,contentType,topic,knowledgeSystem,impressions,clicks,ctr,position,sessions,engagement,secondContent,returningReader,newsletterConversion,evidenceInteraction
/story/mgnrega-reform,Story,economy,Rural Employment,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (EvidenceTrail linked)
/story/pm-fasal-bima-claims,Story,agriculture,Crop Insurance,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (EvidenceTrail linked)
/story/digital-payments-boom,Story,digital-payments,UPI & Payments,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (EvidenceTrail linked)
/story/semiconductor-pli,Story,technology,Semiconductors,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (EvidenceTrail linked)
/trackers/mgnrega,Tracker,economy,Rural Employment,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (Ledger + Charts + Docs)
/trackers/pmfby,Tracker,agriculture,Crop Insurance,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (Ledger + Charts + Docs)
/trackers/upi,Tracker,digital-payments,UPI & Payments,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (Ledger + Charts + Docs)
/trackers/semiconductor,Tracker,technology,Semiconductors,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (Ledger + Charts + Docs)
/trackers,Hub,governance,Cross-System Hub,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (4-Tracker directory)
/topic/economy,Topic,economy,Economy Hub,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,ACTIVE (Trackers grid + Stories)
