EVIDENCE ITEMS DATA
======================

id | source_id | extracted_text preview | human_review_status | created_at
--- | --------- | ---------------------- | ------------------- | ----------
09549242-5194-4936-b63e-6b72725c9a60 | c55662a9-c0a1-4b08-8668-c2c520ba7bac | Lalganj is a constituency of the Uttar Pradesh Legislative Assembly covering the... | UNREVIEWED | Wed Jul 22 2026 11:49:32 GMT+0530 (India Standard Time)
0ae0b793-4530-45d9-b724-9b22261f9df7 | f5d79377-4f30-4fde-9d93-0613020a4535 | The road transport and highways ministry has allocated around Rs 6,000 crore for... | UNREVIEWED | Wed Jul 22 2026 11:49:28 GMT+0530 (India Standard Time)
1745b1b7-46f4-4f28-b4cd-2f4098005d84 | 29823f12-43d8-4c46-9ca4-68f303e84473 | Jharkhand is one of the PESA states where the Local Self-Governance Act has not ... | UNREVIEWED | Wed Jul 22 2026 11:49:35 GMT+0530 (India Standard Time)
188f62c2-e752-4fe7-9c03-7c4e72d7740a | 8d591ac8-08c9-4794-a452-dfc4f9ddd32d | The Union Cabinet, chaired by the Prime Minister Shri Narendra Modi, has approve... | UNREVIEWED | Wed Jul 22 2026 11:49:48 GMT+0530 (India Standard Time)
32428784-8d8b-46cf-88f7-8b681356ce92 | 503fe624-68ee-48e2-9cd3-dc9bcc4c4586 | Inaugurated on December 13, 2021, the Kashi Vishwanath Corridor is a transformat... | UNREVIEWED | Wed Jul 22 2026 11:48:59 GMT+0530 (India Standard Time)
3935c9d2-3926-4d29-bd48-11ae5e4c6a27 | cebe32fa-687b-4474-836a-d2232bfc8192 | Started in 2019, the project in the Prime Minister's constituency has cost aroun... | UNREVIEWED | Wed Jul 22 2026 11:48:59 GMT+0530 (India Standard Time)
48ff7aa8-a835-4674-b3d5-9806857b4156 | 78ad259c-6306-4652-a1e2-9b98c00fe8ee | The much-awaited Lucknow Metro was finally inaugurated on Tuesday. The Metro wil... | UNREVIEWED | Wed Jul 22 2026 11:49:49 GMT+0530 (India Standard Time)
4acbd83e-c7ae-45cb-9ba1-b36a5b3f1c15 | 20bef86c-7ed9-4372-85f5-f7ccf8557162 | Project Cost: INR 12900 Crore. JICA: Rs 5,968 crore (46.4%), Govt. of India: Rs ... | UNREVIEWED | Wed Jul 22 2026 11:49:04 GMT+0530 (India Standard Time)
5004ff63-f434-4346-9af0-40ef7306d556 | ef440830-68db-4408-b5c1-014759e725ab | Prime Minister Narendra Modi on Tuesday inaugurated the All India Institute of M... | UNREVIEWED | Wed Jul 22 2026 11:49:43 GMT+0530 (India Standard Time)
516be0ad-e9f4-4870-888f-23d23ad4fa3b | 27a6a555-fbb5-464d-8391-397dcec68306 | The project cost totals Rs 13,984 crore. The coastal road was delayed from Nov 2... | UNREVIEWED | Wed Jul 22 2026 11:49:11 GMT+0530 (India Standard Time)
5a876938-c5d2-4143-97d6-f8a46294e094 | 982bb449-e212-4f16-899e-54766095cdf7 | Khunti is historically significant as the birthplace of Birsa Munda, a prominent... | UNREVIEWED | Wed Jul 22 2026 11:49:35 GMT+0530 (India Standard Time)
5b147b7f-5ca7-4447-be94-8230a66f270a | 9bc1cbcc-b6fc-4dc1-ba29-7f062e659b6b | Ahmedabad Metro Rail Project Phase-I sanctioned cost Rs 10773 Cr, expenditure ti... | UNREVIEWED | Wed Jul 22 2026 11:49:05 GMT+0530 (India Standard Time)
5f87103c-3877-4df9-af81-dc9df5b41a6a | 9cefb537-106c-4465-8047-3d109fa552d4 | Union Home Minister Rajnath Singh and Uttar Pradesh Chief Minister Yogi Adityana... | UNREVIEWED | Wed Jul 22 2026 11:49:48 GMT+0530 (India Standard Time)
6e1510bb-d0a7-4ed7-b357-8f90526f4872 | 80f0b321-b97c-4eca-b03c-4d01e1f29900 | The 300-bed AIIMS Gorakhpur, costing Rs 1,011 crore, will cater to the populatio... | UNREVIEWED | Wed Jul 22 2026 11:49:43 GMT+0530 (India Standard Time)
82f91b3d-8260-41ce-9791-d689feb8b3aa | cce0a022-6aae-4690-9b98-a9235a81eb6a | The first phase of the Corridor has been constructed at the cost of INR 339 cror... | UNREVIEWED | Wed Jul 22 2026 11:48:59 GMT+0530 (India Standard Time)
863a7415-ca34-435b-8594-f7d7fde129c2 | 46d99be4-1e16-4b84-bcce-f364037429ef | The Union Cabinet chaired by the Prime Minister, Shri Narendra Modi, gave its ap... | UNREVIEWED | Wed Jul 22 2026 11:49:04 GMT+0530 (India Standard Time)
88e5c961-487d-4c17-ba5b-930b0d830b61 | 5164102e-863f-4c48-b595-827b4207d059 | The work on the ambitious project started on October 13, 2018 and its projected ... | UNREVIEWED | Wed Jul 22 2026 11:49:11 GMT+0530 (India Standard Time)
8a8b3a28-dadf-40ac-818d-13d6ae163b3c | c2a33323-a060-4cfc-b1ad-7fec2d564fc8 | The case originated from a Rajasthan High Court order regarding Junior Judicial ... | UNREVIEWED | Wed Jul 22 2026 11:49:39 GMT+0530 (India Standard Time)
97497b24-a714-40ed-8a96-c5b26f134e1b | 5a49c5b7-7b5c-4bec-9ac1-9b9efbee5fd2 | In the 2022 elections, SP candidate Bechai Saroj won with 83,767 votes (38.31%),... | UNREVIEWED | Wed Jul 22 2026 11:49:32 GMT+0530 (India Standard Time)
9aa9c314-4e44-46e9-9349-90dd2419a855 | 0f4c2606-d832-45e0-8d69-763d1241aec3 | East Shillong is one of the 60 Legislative Assembly constituencies of Meghalaya ... | UNREVIEWED | Wed Jul 22 2026 11:49:19 GMT+0530 (India Standard Time)
a2059755-c318-4016-ba21-0b89e5f4ed34 | 79d80f2a-602d-4cbb-a489-d11529f984de | The Prime Minister laid the foundation stone and dedicated to the nation multipl... | UNREVIEWED | Wed Jul 22 2026 11:49:22 GMT+0530 (India Standard Time)
a71440f8-d01e-4baa-9831-aa89998e0df2 | 42a0c43d-1739-4288-8806-8a073d8151ac | The Union Cabinet chaired by the Prime Minister Shri Narendra Modi has given its... | UNREVIEWED | Wed Jul 22 2026 11:49:43 GMT+0530 (India Standard Time)
acf4d3ce-8d48-408c-b958-718628ec46d3 | 8139e974-9d2a-4838-9720-ac568b0cc469 | The central government has sanctioned Rs 28,229 crore for the construction of th... | UNREVIEWED | Wed Jul 22 2026 11:49:27 GMT+0530 (India Standard Time)
b2930e61-6759-41b0-9423-a0548abff01b | 5e57b808-26a9-4a9f-9a91-a58dbecfc37a | The Supreme Court held that reserve category candidates who score above the cut-... | UNREVIEWED | Wed Jul 22 2026 11:49:39 GMT+0530 (India Standard Time)
b3b6d829-c434-41c6-94dd-278480e82cf7 | 50f51b0a-8248-4442-a9b6-8a15ece64297 | Independent candidate Ashish Sharma has won the Hamirpur assembly elections. Sha... | UNREVIEWED | Wed Jul 22 2026 11:49:15 GMT+0530 (India Standard Time)
b89ef4b6-2f39-4133-acda-2ddd8322e227 | 1ec49d41-ddad-4b80-9257-f65807673602 | The total cost of the project is Rs 13,983 crore. The Mumbai Coastal Road Projec... | UNREVIEWED | Wed Jul 22 2026 11:49:10 GMT+0530 (India Standard Time)
c5fac315-8fd0-450b-b058-bffc3c1607b3 | fded9f08-1c25-44c3-9c06-ffd08691efdf | In the 2023 Meghalaya election, NPP candidate Dr. Mazel Ampareen Lyngdoh won wit... | UNREVIEWED | Wed Jul 22 2026 11:49:19 GMT+0530 (India Standard Time)
d11bc1d2-2a3f-4e60-b66b-1da33b9ac3cb | 229d637a-dd66-467c-8131-4c483c8d4197 | In the last few years, the Army has significantly upgraded firepower and infrast... | UNREVIEWED | Wed Jul 22 2026 11:49:28 GMT+0530 (India Standard Time)
e900ecd5-af90-4082-9364-dfb0fc145fe3 | c20eed57-b6fc-4edf-906f-71b8ec5654fa | Bharatiya Janata Party's (BJP) Ashish Sharma won the Hamirpur Assembly bypoll. T... | UNREVIEWED | Wed Jul 22 2026 11:49:16 GMT+0530 (India Standard Time)
f3c128af-e0b1-462f-acc0-0105db3f07af | cda7f02a-f24e-4467-9208-3eb1ba7b593c | Work on the Pithoragarh Medical College, with an investment of more than Rs 750 ... | UNREVIEWED | Wed Jul 22 2026 11:49:23 GMT+0530 (India Standard Time)
