eventName,payloadParameters,triggerSurface,deduplicationRule,piiLeakageRisk,productionStatus
page_view,page_path / page_title,Next.js Route Change,Standard Next.js Router,Zero (No PII),CONFIGURED (Stream pending)
story_opened,"content_id, content_type",StoryShell Mount,SessionStorage per slug,Zero (Slug only),CONFIGURED (Stream pending)
story_completed,"content_id, scroll_depth_pct",StoryShell scroll depth >= 75%,Fired once per slug mount,Zero (Percentage only),CONFIGURED (Stream pending)
tracker_viewed,"tracker_id, topic",GenericTracker Mount,Fired once on mount,Zero (Tracker ID only),CONFIGURED (Stream pending)
chart_interacted,"chart_id, tracker_id",TimeSeriesChart point focus / toggle,Debounced on hover/focus,Zero (Chart ID only),CONFIGURED (Stream pending)
document_preview_opened,"document_title, tracker_id",DocumentPreviewModal open,Fired once on modal open,Zero (Document title only),CONFIGURED (Stream pending)
evidence_expanded,"content_id, claim_id, evidence_path",EvidenceTrail accordion expand,Fired on click,Zero (Claim ID only),CONFIGURED (Stream pending)
reader_returned,"stories_read, days_since_last",NarrativeMemory Mount,SessionStorage tb_return_fired flag,Zero (Anonymized counts),CONFIGURED (Stream pending)
newsletter_started,page,StoryNewsletterCTA input focus,Fired on first keystroke/focus,Zero (Page URL only),CONFIGURED (Stream pending)
newsletter_submitted,page,StoryNewsletterCTA form submit,Fired on HTTP 200 submit,Zero (Email omitted from telemetry),CONFIGURED (Stream pending)
ad_slot_rendered,placement,AdSlot Mount,Fired once per placement,Zero (Placement name only),CONFIGURED (Stream pending)
paywall_viewed,"placement, story_slug",PaywallOverlay Mount,Fired once on mount,Zero (Placement name only),CONFIGURED (Stream pending)
dataset_download_started,"dataset_id, status",Data download click,Fired on download attempt,Zero (Dataset ID only),CONFIGURED (Stream pending)
