Category,Artifact,Status,Access Evidence,Required For,Blocking Action,Owner
GA4,Property exists,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Measurement ID present in .env.local; no console access confirmed for property validation,Production reader-funnel metrics,Confirm the GA4 property name/ID maps to thebreakdown.in and data demo/advanced params are enabled in property settings,"Research / Editor-in-Chief"
GA4,Data streams configured (web + newsletter),NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No live-data confirmation available,Unified session measurement,Verify web data stream exists; add newsletter site data stream when provider connects,Research / Editor-in-Chief
GA4,Production build sampling disabled,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Production host gating implemented at code level only (app/layout.tsx, lib/analytics),Clean production sample,Confirm on a production page that the gtag snippet loads and events dispatch,Research / Editor-in-Chief
GA4,Privacy mode (no IP/User-Agent redaction),NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Defaults assumed; needs audit in GA4 admin,Compliance,Confirm GA4 property settings (data retention >14 months; no IP logging expectations documented),Research / Editor-in-Chief
Google Search Console,Domain verified,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No GSC credentials available to the build environment,Search baselines and pilot measurement,Verify thebreakdown.in domain property and submit XML sitemap,Research / Editor-in-Chief
Google Search Console,Sitemap submitted,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Sitemap lives at https://thebreakdown.in/sitemap.xml per app/robots.ts,Search visibility baseline,Submit sitemap in GSC; confirm indexed URL counts,Research / Editor-in-Chief
Google Search Console,Pilot query tracking installed,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No watch queries registered in GSC,Search console baseline (03) and pilot measurement (04),Add the 7 target queries to GSC to isolate pilot performance,Research / Editor-in-Chief
Newsletter,Provider connected,IMPLEMENTATION GAP — NOT YET CONNECTED,No provider SDK/env credentials found; /subscribe form had no action (GET submit leaked email into URL),newsletter_started / newsletter_subscribed measurement,Wire a delivery provider (e.g., Postmark/Resend/Mailchimp) and capture a subscription event; until then newsletter_subscribed is defined but intentionally never fired,Research / Editor-in-Chief
Newsletter,Email capture safe,COMPLETE,SubscribeForm now preventDefault()s the GET submit so email is never written to the URL,Privacy & reader trust,None,Editorial
Sentry,Error monitoring configured,CONFIGURED — ACCESS NOT VERIFIED,sentry.server.config.ts / sentry.edge.config.ts present; NEXT_PUBLIC_SENTRY_DSN exists only in .env.example,Critical error awareness,Live DSN must be set in production env; verify events appear in Sentry project,Engineering
Vercel,Preview environment isolated,COMPLETE,NODE_ENV===production + hostname gate rejects preview/vercel.app hosts,Clean measurement,None,Engineering
Cloudflare,Production host headers,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Workers deployment of thebreakdown-website-worker per docs; GA events blocked outside hostname gate,Correct host classification,Confirm thebreakdown.in serves the current build and forwards /api/analytics as expected,Engineering
