Category,Artifact,Status,Evidence Collected (TASK-08 Attempt),Required For,Blocking Action,Owner
GA4,Property exists,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,NEXT_PUBLIC_GA_MEASUREMENT_ID present in .env.local and matches G- prefix. No console/stakeholder access available this cycle to validate property contents or data-retention/consent settings.,Production reader-funnel metrics,Confirm the property maps to thebreakdown.in; enable data retention >14 months and demo+advanced measurement as needed,"Research / Editor-in-Chief"
GA4,Web data stream,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No live-data confirmation. Build verified gtag loader + ga-init + GATracker render on production build; events only dispatch client-side on thebreakdown.in host.,Unified session measurement,Verify the web data stream exists and events appear under event name; validate in GA4 debug view on a production page.,"Research / Editor-in-Chief"
GA4,Page view exactly-once,COMPLETE (fix shipped as EXP-01),TASK-08 Phase B found initial load fired TWO page_view (gtag config in ga-init + GATracker mount effect). GATracker now skips its first run so ga-init owns the initial page_view and GATracker owns subsequent SPA navigations. tsc+build+tests verified.,Clean page_view count (basis for every ratio),None (regression re-checked by build + tsc),"Engineering"
GA4,Production build sampling disabled,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Hostname gate (isProductionAnalytics + isProductionHost + GATracker guard) implemented at code level only; no production console view.,Clean production sample,Confirm in GA4 admin that the property is not sampling at expected traffic volume.,"Research / Editor-in-Chief"
GA4,Phase L KPI visibility (topic_link_clicked / entity_link_clicked / story_opened),NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Events wired (see 02-production-event-validation.csv). No production GA4 view exists to read them.,Experiment measurement (EXP-02/03/05),Create GA4 reports/explorations for the pilot events before reading results.,"Research / Editor-in-Chief"
Google Search Console,Domain verified,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No GSC credentials available to the build environment. Cannot query positions, clicks, or impressions.,Search baselines + pilot measurement,Verify thebreakdown.in domain property and add the TASK-08 owner as user.,"Research / Editor-in-Chief"
Google Search Console,Sitemap submitted,"PARTIALLY VERIFIED (repo-level only)",app/robots.ts points sitemap to https://thebreakdown.in/sitemap.xml; served sitemap.xml (build + local production server) contains all 7 pilot story URLs. GSC submission itself cannot be confirmed.,Search visibility baseline,Submit sitemap in GSC and confirm indexed URL counts.,"Research / Editor-in-Chief"
Google Search Console,Pilot query tracking,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,No watch queries registered in GSC; therefore no position/CTR/impression baselines exist for the 7 target queries.,Position 4-20 + CTR experiment baselines,Register the 7 TASK-06 target queries as GSC watch/currentity queries.,"Research / Editor-in-Chief"
Newsletter,Provider connected,IMPLEMENTATION GAP — NOT YET CONNECTED,No provider SDK/env credentials found. /subscribe and /newsletter render SubscribeForm (privacy-safe). No email can be captured end-to-end.,newsletter_started/newsletter_subscribed measurement,Wire a delivery provider (Postmark/Resend/Mailchimp class) with double-opt-in; then a subscribed event may fire.,"Research / Editor-in-Chief"
Newsletter,Email capture safety,COMPLETE,SubscribeForm preventDefault() prevents email-in-URL GET leak. Existing pages re-verified this cycle.,Reader privacy,None,"Editorial"
Newsletter,Conversion measurement,BLOCKED,newsletter_started fires (focus/input/submit) but the funnel cannot complete without a provider.,newsletter_subscribed,No provider = no verified conversion; keep release honest.,"Research / Editor-in-Chief"
Sentry,Error monitoring,DISTRIBUTED SERVICE — DSN NOT VERIFIED,sentry.client/server/edge config files present; NEXT_PUBLIC_SENTRY_DSN only in .env.example. No live DSN in production env confirmed.,Critical error awareness,Set live DSN in production env; verify events appear in Sentry project.,Engineering
Vercel,Preview environment isolated,COMPLETE,NODE_ENV===production + hostname gate rejects preview/vercel.app/localhost; verified at code level (layout + GATracker guard).,Clean measurement,None,Engineering
Cloudflare,Production host headers,NOT VERIFIED — PRODUCTION ACCESS REQUIRED,Workers deployment of thebreakdown-website-worker per docs. Local production server served correct robots/sitemap/titles but hostname gating on the live domain not observed.,Correct host classification,Confirm thebreakdown.in serves the current build and that gtag snippet loads there.,Engineering
Ontology,Entity pages for pilot entities,NOT VERIFIED — GAP CONFIRMED,Entity index in utils/data-layer/entity-index.ts contains 11 entities (foundation-era). None of MoRD, NPCI, MoA, CERT-In, ICMR, UIDAI, RBI, CAG exist as entity pages; related entity links resolve to 404 if emitted.,Entity cross-linking (EXP-05),Create entity terminal pages for the 7 pilot stories' primary entities,,"Research / Editorial"
Ontology,Topic pages for pilot topics,VERIFIED (repo-level),/topic/economy|policy|agriculture|employment|technology|digital-payments|geopolitics|education|cybersecurity|environment all return 200; topic hubs listed per 04-internal-link-opportunities.csv.,Topic cross-linking (EXP-05),None for existing hub pages; hub surfacing design limitation documented (top-4 latest slice).,"Research / Editorial"
