id,type,label
"mgnrega-reform","story","MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained"
"https://egazette.gov.in","source","Gazette of India Notification S.O. 2415(E) — VB-G RAM G Act 2025 Commencement"
"https://rural.gov.in","source","Viksit Bharat – Guarantee for Rozgar and Ajeevika Mission (Gramin) Act, 2025 (Act No. 18 of 2025)"
"mgnrega-reform-claim-0","claim","MGNREGA 2005 remains the active statutory law governing rural wage employment in India."
"hash-353221028","evidence","MGNREGA 2005 was repealed under Section 36(1) of Act No. 18 of 2025. Effective July 1, 2026, the operative statute is the Viksit Bharat – Guarantee for Rozgar and Ajeevika Mission (Gramin) Act, 2025 (VB-G RAM G Act, 2025)."
"hash-799646981","source","Public Statements"
"mgnrega-reform-claim-1","claim","The statutory guarantee for rural wage employment is 100 days per household."
"hash-901998877","evidence","While 100 days was the statutory limit under MGNREGA 2005, the VB-G RAM G Act, 2025 expanded the statutory guarantee to 125 days per household per financial year starting 1 July 2026."
"hash-94718953","source","Historical Manuals"
"digital-payments-boom","story","Digital Payments in Rural India: UPI's Unseen Revolution"
"https://npci.org.in","source","NPCI Annual Report 2025-26"
"digital-payments-boom-claim-0","claim","UPI has eliminated the urban-rural digital payments divide."
"hash-714299001","evidence","Urban transactions still account for 68% of total UPI volume."
"hash-1225450197","source","Industry Report 2025"
"claim.upi.upi123pay-limit","claim","The per-transaction limit for UPI123Pay was raised from ₹5,000 to ₹10,000 by the RBI in its October 2024 SDRP statement."
"hash-185957072","evidence","NPCI issued Circular 209 directing member banks to implement the new transaction limit, enhancing feature phone payment adoption."
"hash-1896495542","source","RBI SDRP October 2024"
"pm-fasal-bima-claims","story","PM Fasal Bima Yojana: The Claims That Never Reached Farmers"
"https://cag.gov.in","source","CAG Report on PMFBY 2024"
"hash-596819635","source","State Government Data Compilation"
"pm-fasal-bima-claims-claim-0","claim","Insurance companies are deliberately delaying claim settlements to earn interest."
"hash-848265715","evidence","While delays are documented, intent cannot be verified without regulatory investigation."
"hash-1754845921","source","Farmer Unions"
"pm-fasal-bima-claims-claim-1","claim","States are not contributing their share of premium on time."
"hash-1991673111","evidence","4 states have pending premium contributions exceeding ₹2,000 crore."
"hash-1728660641","source","Union Agriculture Ministry"
"semiconductor-pli","story","India's Semiconductor Push: Program Outlay, Project Investment & Commercial OSAT Debut"
"https://pib.gov.in","source","MeitY PIB Commercial Production Release Q1 2026"
"https://ism.gov.in","source","India Semiconductor Mission (ISM) Guidelines"
"https://meity.gov.in","source","Ministry of Electronics and IT Annual Report 2025-26"
"semiconductor-pli-claim-0","claim","The ₹76,000 crore semiconductor PLI outlay represents total private factory investment."
"hash-360644479","evidence","₹76,000 crore is the government's fiscal incentive outlay. Total approved private project investment commitments stand at ₹1.26 lakh crore across 5 facilities."
"hash-1007551816","source","Media Summaries"
"semiconductor-pli-claim-1","claim","Commercial semiconductor production has commenced in India under the PLI scheme."
"hash-1679117698","evidence","Commercial production of packaged semiconductors commenced at the CG Semi OSAT facility in Sanand in Q1 2026."
"hash-2057123816","source","MeitY PIB Release Q1 2026"
"semiconductor-pli-claim-2","claim","India will stop importing all microchips by 2030."
"hash-1962892083","evidence","The PLI scheme aims for self-reliance in mature node packaging and select fabrication, not absolute independence from global supply chains by 2030."
"hash-1052047729","source","Social Media"
"dpdp-bill","story","Digital Personal Data Protection: India's Privacy Law Comes of Age"
"https://meity.gov.in/dpdp","source","Digital Personal Data Protection Act 2023"
"https://prsindia.org","source","PRS Legislative Analysis"
"dpdp-bill-claim-0","claim","India's DPDP Act imposes the highest data privacy fines in the world."
"hash-630428233","evidence","While ₹250 crore is significant, EU GDPR fines can reach €20 million or 4% of global turnover, which is substantially higher for large tech firms."
"hash-1415039829","source","Industry Association Report"
"dpdp-bill-claim-1","claim","The DPDP Act exempts government agencies from all provisions."
"hash-314994576","evidence","Section 17 of the Act allows the central government to exempt any instrumentality of the state by notification, and 15 agencies have been exempted as of 2026."
"hash-2140170000","source","Digital Rights Advocacy Group"
"rbi-repo-rate","story","RBI Repo Rate: Decoding Monetary Policy & Rate Easing Cycle"
"https://rbi.org.in","source","RBI Monetary Policy Statement & MPC Resolutions 2025-2026"
"https://rbi.org.in/mpc","source","MPC Minutes Archive"
"rbi-repo-rate-claim-0","claim","The policy repo rate of the Reserve Bank of India is 6.50%."
"hash-366453675","evidence","6.50% was the peak policy rate maintained during the 2023-2024 pause cycle. The RBI MPC subsequently lowered the repo rate to 5.25% by July 2026."
"hash-11762477","source","Historical Articles"
"rbi-repo-rate-claim-1","claim","The inflation targeting framework has successfully kept CPI inflation within the 2-6% band since 2016."
"hash-811484445","evidence","In 8 of 10 years since 2016, headline CPI inflation has remained within the 2-6% tolerance band. Breaches occurred only in 2020 (supply shocks) and 2022 (commodity price surge)."
"hash-2044481842","source","RBI Annual Report"
"climate-finance","story","India's ₹11 Lakh Crore Climate Finance Challenge"
"https://mnre.gov.in","source","Ministry of New and Renewable Energy Dashboard"
"https://ceew.in","source","CEEW Climate Finance Study 2025"
"climate-finance-claim-0","claim","India is on track to achieve 500 GW of renewable energy capacity by 2030."
"hash-341849039","evidence","At the current installation rate of 18 GW/year, India would reach approximately 380 GW by 2030 — falling short of the 500 GW target by 24%."
"hash-1601424101","source","Government Press Release"
"climate-finance-claim-1","claim","Developed countries have failed to deliver the promised $100 billion in annual climate finance."
"hash-2047107517","evidence","OECD data confirms that developed countries only delivered $83.3 billion in 2020, and the $100 billion goal was first met only in 2022 — two years after the 2020 deadline."
"hash-311144513","source","Climate Action Network"
"claim.climate.cop29-ncqg-finance","claim","COP29 adopted the New Collective Quantified Goal (NCQG) of at least US$300 billion annually by 2035 from developed nations."
"hash-73708761","evidence","The Baku agreement adopted in November 2024 sets a target of $300 billion/year by 2035 and calls for scaling up total finance to at least $1.3 trillion/year, replacing the $100 billion goal."
"hash-777138311","source","UNFCCC Decision 1/CMA.6"
"education-budget","story","Education Budget: Widening Gap Between Spending and Learning Outcomes"
"https://indiabudget.gov.in","source","Union Budget Documents"
"https://indiabudget.gov.in/economicsurvey","source","Economic Survey 2025-26"
"groundwater-depletion","story","India's Groundwater Crisis: North-West Agricultural Belt Stressed as CGWB 2025 Assessment Tracks 449 BCM Recharge"
"https://cgwb.gov.in","source","CGWB National Compilation on Dynamic Ground Water Resources of India 2025"
"https://nasa.gov","source","NASA-CGWB Groundwater Study"
"groundwater-depletion-claim-0","claim","62% of India's districts are over-exploited for groundwater nationwide."
"hash-84335339","evidence","The 62% figure overgeneralizes North-West agricultural districts (Punjab/Haryana/Rajasthan) to all 700+ national districts. CGWB 2025 data shows 1,118 out of 6,738 assessment units (16.59%) are over-exploited nationwide."
"hash-713356381","source","Media Headlines"
"groundwater-depletion-claim-1","claim","Annual groundwater recharge in India exceeds 445 BCM."
"hash-97078302","evidence","The CGWB 2025 National Compilation verifies total annual groundwater recharge at 449.12 BCM."
"hash-1287116574","source","CGWB 2025 Report"
