eventName,payloadParameters,triggerSurface,deduplicationRule,hostnameFiltered,piiProtection,productionStreamStatus
page_view,page_path / page_title,Next.js Route Change,Standard Next.js Router,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
story_opened,"content_id, content_type",StoryShell Mount,SessionStorage per slug,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
story_completed,"content_id, scroll_depth_pct",StoryShell scroll depth >= 75%,Fired once per slug mount,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
tracker_viewed,"tracker_id, topic",GenericTracker Mount,Fired once on mount,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
chart_interacted,"chart_id, tracker_id",TimeSeriesChart point focus / toggle,Debounced on hover/focus,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
document_preview_opened,"document_title, tracker_id",DocumentPreviewModal open,Fired once on modal open,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
evidence_expanded,"content_id, claim_id, evidence_path",EvidenceTrail accordion expand,Fired on click,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
reader_returned,"stories_read, days_since_last",NarrativeMemory Mount,SessionStorage tb_return_fired flag,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
newsletter_started,page,StoryNewsletterCTA input focus,Fired on first keystroke/focus,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
newsletter_submitted,page,StoryNewsletterCTA form submit,Fired on HTTP 200 submit,YES (Production origin only),100% PII Free (Email omitted),CONFIGURED (Stream pending)
ad_slot_rendered,placement,AdSlot Mount,Fired once per placement,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
paywall_viewed,"placement, story_slug",PaywallOverlay Mount,Fired once on mount,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
dataset_download_started,"dataset_id, status",Data download click,Fired on download attempt,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
b2b_inquiry_submitted,"company_name, use_case",Institutional Inquiry form,Fired on valid form submission,YES (Production origin only),100% PII Free,CONFIGURED (Stream pending)
