slug,area,issue,severity,status,evidence,action_taken
india-china-border-tensions,Visual asset,heroImage points at '/images/stories/mgnrega-reform.jpg' (copied hero asset; no galwan/border image anywhere under public/images/stories),high,OPEN — flagged for Pending Visual Audit,hero field in story25 block; glob public/images/stories found zero '*india-china*' files,Kept in place (worse to point at a non-existent path than at an owned but unrelated image); acquire a licencable line-of-control/landscape image via Asset Register before publish (docs/assets policy).
mgnrega-reform,et al. (all pilots),Metadata impact,impactLevel was unset site-wide → 'important' group empty on every hub,closed,verified in services/topics/pipeline/stories.ts important-group filter (does not render when no story carries critical|high),Assigned impactLevel to all 7 pilots: mgnrega high, digital-payments high, pm-fasal high, climate-finance high, ews critical, india-china critical, 81-crore critical. Validated: Important Developments section renders on geopolitics.
ministry-of-rural-development,Entity eligibility,description at 98 words — 2 shy of the ≥100 term-gate despite having 8 statistics + 1 story (gate needs qualifier branch),closed,descWords computed from raw string; gate is totalArticles>=2 || (descWords>=100 && stats>=3),Extended description to 111 words; dossier now renders.
npci,Entity eligibility,desc 17 words + 1 related story → below gate,closed,published,dossier live; 0-word-count error avoided by enrichment.
cert-in,Entity eligibility,desc 25 words → below gate,closed,enriched ≥100, dossier live.
icmr,Entity eligibility,desc 45 words → below gate,closed,enriched ≥100, dossier live.
uidai,Entity eligibility,desc 30 words → below gate,closed,enriched ≥100, dossier live.
mgnrega,Entity eligibility,desc 6 words → below gate,closed,enriched ≥100, dossier live.
rbi,Related coverage,4 pilot-relevant stories existed; dossier listed 1,closed,usageGraph empty-array masks relatedStoryIds on API entities,Extended relatedStories to digital-payments-boom, rbi-repo-rate, supply-chain-shift, income-inequality-india; Related Coverage block now renders links.
ministry-of-agriculture,Related coverage,pm-fasal-bima + groundwater-depletion both reference it; dossier listed 1,closed,added groundwater-depletion,Related Coverage links both.
cag,Related coverage,fasal-bima + namami-gange reference CAG; dossier listed 1,closed,added namami-gange-under-fire,Related Coverage links both.
entity terminal,Discoverability return,terminal view-model computed stories but never returned them to the page,closed,view-model.ts return shape lacked relatedStories,Added relatedStories to EntityTerminalExtendedViewModel + Related Coverage links in EntityTerminal — pilots now reachable from their dossiers (verified via crawl).
topic hub render,Discovery routing,only storyGroups.latest.slice(0,4) rendered → pilots dropped off hubs with >4 newer stories,closed,root cause of expiry (HUBLK),Deterministic multi-section model in app/topic/[slug]/page.tsx (spec: 08-topic-hub-spec.md).
usageGraph empty arrays,Graph integrity,API entities carry usageGraph:{},[]},[]} which overrides nothing (code uses length>0 guard) but obscures intent,low,documented in 09-entity-review.csv,No code change; notation only. Real graph writebacks are a later ACP item.
story25 heroImage,Asset register,visual asset missing for india-china (Visual Audit gap — Gold Standard Phase 5),high,OPEN,no image file exists,Flagged; do not publish story25 visual bundle without an audited asset.
