story_slug,story_title,image_path,image_dimensions,image_format,image_status,semantic_match,duplicate_status,alt_text,credit,license,action
"mgnrega-reform","MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained","/images/stories/mgnrega-20.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained","The Breakdown Archives","Editorial / Fair Use","KEEP"
"digital-payments-boom","Digital Payments in Rural India: UPI's Unseen Revolution","/images/stories/digital-payments.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Digital Payments in Rural India: UPI's Unseen Revolution","The Breakdown Archives","Editorial / Fair Use","KEEP"
"pm-fasal-bima-claims","PM Fasal Bima Yojana: The Claims That Never Reached Farmers","/images/stories/fasal-bima.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","PM Fasal Bima Yojana: The Claims That Never Reached Farmers","The Breakdown Archives","Editorial / Fair Use","KEEP"
"semiconductor-pli","India's Semiconductor Push: Program Outlay, Project Investment & Commercial OSAT Debut","/images/stories/semiconductor-pli.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","India's Semiconductor Push: Program Outlay, Project Investment & Commercial OSAT Debut","The Breakdown Archives","Editorial / Fair Use","KEEP"
"dpdp-bill","Digital Personal Data Protection: India's Privacy Law Comes of Age","/images/stories/dpdp-bill.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Digital Personal Data Protection: India's Privacy Law Comes of Age","The Breakdown Archives","Editorial / Fair Use","KEEP"
"rbi-repo-rate","RBI Repo Rate: Decoding Monetary Policy & Rate Easing Cycle","/images/stories/rbi-repo-rate.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","RBI Repo Rate: Decoding Monetary Policy & Rate Easing Cycle","The Breakdown Archives","Editorial / Fair Use","KEEP"
"climate-finance","India's ₹11 Lakh Crore Climate Finance Challenge","/images/stories/climate-finance.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","India's ₹11 Lakh Crore Climate Finance Challenge","The Breakdown Archives","Editorial / Fair Use","KEEP"
"education-budget","Education Budget: Widening Gap Between Spending and Learning Outcomes","/images/placeholders/education-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Education Budget: Widening Gap Between Spending and Learning Outcomes","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"groundwater-depletion","India's Groundwater Crisis: North-West Agricultural Belt Stressed as CGWB 2025 Assessment Tracks 449 BCM Recharge","/images/stories/groundwater-depletion.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","India's Groundwater Crisis: North-West Agricultural Belt Stressed as CGWB 2025 Assessment Tracks 449 BCM Recharge","The Breakdown Archives","Editorial / Fair Use","KEEP"
"ration-digitization","Digitizing PDS: How Technology Plugged the Leakage in India's Food Security Net","/images/stories/ration-digitization.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Digitizing PDS: How Technology Plugged the Leakage in India's Food Security Net","The Breakdown Archives","Editorial / Fair Use","KEEP"
"anganwadi-icds","Anganwadi Centres: India's Frontline Nutrition Workers Are Burning Out","/images/stories/anganwadi.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Anganwadi Centres: India's Frontline Nutrition Workers Are Burning Out","The Breakdown Archives","Editorial / Fair Use","KEEP"
"supply-chain-shift","The Great Supply Chain Shift: Can India Capture the China+1 Opportunity?","/images/placeholders/economy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","The Great Supply Chain Shift: Can India Capture the China+1 Opportunity?","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"ethanol-backlash","E20 Backlash: India's Ethanol Push and the Consumer Revolt That Followed","/images/stories/ethanol-backlash.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","E20 Backlash: India's Ethanol Push and the Consumer Revolt That Followed","The Breakdown Archives","Editorial / Fair Use","KEEP"
"ews-quota-upsc-investigation","Who Really Gets the EWS Quota? An Investigation into UPSC's 104 Selections","/images/stories/ews-quota-upsc.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Who Really Gets the EWS Quota? An Investigation into UPSC's 104 Selections","The Breakdown Archives","Editorial / Fair Use","KEEP"
