story_slug,story_title,category,published_at,reading_time,chapters_count,claims_count,sources_count,has_narrative,has_timeline,has_charts,has_faq,has_duplicate_takeaways,has_duplicate_sources,status
"mgnrega-reform","MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained","economy","2026-07-23T10:00:00Z",14,5,2,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"digital-payments-boom","Digital Payments in Rural India: UPI's Unseen Revolution","technology","2026-06-12T08:00:00Z",8,5,2,1,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"pm-fasal-bima-claims","PM Fasal Bima Yojana: The Claims That Never Reached Farmers","policy","2026-06-05T06:00:00Z",15,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"semiconductor-pli","India's Semiconductor Push: Program Outlay, Project Investment & Commercial OSAT Debut","technology","2026-07-23T06:00:00Z",14,5,3,4,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"dpdp-bill","Digital Personal Data Protection: India's Privacy Law Comes of Age","policy","2026-07-05T08:00:00Z",11,5,2,2,true,true,false,true,false,false,"REMEDIATED_PUBLISHED"
"rbi-repo-rate","RBI Repo Rate: Decoding Monetary Policy & Rate Easing Cycle","economy","2026-07-23T06:00:00Z",11,5,2,2,true,true,false,true,false,false,"REMEDIATED_PUBLISHED"
"climate-finance","India's ₹11 Lakh Crore Climate Finance Challenge","environment","2026-07-10T06:00:00Z",13,5,3,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"education-budget","Education Budget: Widening Gap Between Spending and Learning Outcomes","policy","2026-07-14T06:00:00Z",9,3,0,2,true,true,false,true,false,false,"REMEDIATED_PUBLISHED"
"groundwater-depletion","India's Groundwater Crisis: North-West Agricultural Belt Stressed as CGWB 2025 Assessment Tracks 449 BCM Recharge","environment","2026-07-23T06:00:00Z",12,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"ration-digitization","Digitizing PDS: How Technology Plugged the Leakage in India's Food Security Net","economy","2026-07-22T06:00:00Z",10,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"anganwadi-icds","Anganwadi Centres: India's Frontline Nutrition Workers Are Burning Out","health","2026-07-24T06:00:00Z",11,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"supply-chain-shift","The Great Supply Chain Shift: Can India Capture the China+1 Opportunity?","economy","2026-07-24T06:00:00Z",13,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"ethanol-backlash","E20 Backlash: India's Ethanol Push and the Consumer Revolt That Followed","environment","2026-07-24T06:00:00Z",14,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"ews-quota-upsc-investigation","Who Really Gets the EWS Quota? An Investigation into UPSC's 104 Selections","policy","2026-07-24T06:00:00Z",12,5,2,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"us-iran-relations","US-Iran Relations: From Maximum Pressure to Nuclear Negotiations","politics","2026-07-18T06:00:00Z",14,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"indian-education-crisis","India's Education Paradox: Rising Enrolment, Falling Learning — What Went Wrong?","policy","2026-07-22T06:00:00Z",16,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"income-inequality-india","Income Inequality in India: The Top 1% Now Owns 40% of the Wealth","economy","2026-07-26T06:00:00Z",15,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-china-border-tensions","India-China Border: Galwan and the Standoff Four Years On","politics","2026-07-30T06:00:00Z",17,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"indias-foreign-policy","India's Foreign Policy at 80: From Non-Alignment to Multi-Alignment","politics","2026-08-05T06:00:00Z",18,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"satluj-ban","The Satluj Files: Censored, Released, Removed — The 48-Hour Life of India's Most Controversial Film","policy","2026-07-08T06:00:00Z",15,5,3,5,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-us-relations","India-US Relations: From Nuclear Deal to Critical Technology Partnership","geopolitics","2026-08-15T10:00:00Z",16,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-indonesia-relations","India-Indonesia: How Maritime Neighbours Are Reshaping the Indo-Pacific","geopolitics","2026-08-18T10:00:00Z",12,5,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-china-relations","India-China: Two Asian Giants in an Era of Mistrust and Strategic Rivalry","geopolitics","2026-08-20T10:00:00Z",17,5,3,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-europe-relations","India and Europe: A Strategic Partnership Searching for Substance","geopolitics","2026-08-22T10:00:00Z",14,5,2,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-uk-relations","India-UK Relations: Beyond Colonial History to a Modern Strategic Partnership","geopolitics","2026-08-23T10:00:00Z",13,4,2,2,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-russia-relations","India-Russia: The Enduring Partnership Tested by War and Realignment","geopolitics","2026-08-25T10:00:00Z",14,5,2,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"81-crore-data-breach","81.5 Crore Aadhaar Records Exposed: Inside India's Biggest Data Breach","technology","2026-07-09T08:00:00Z",14,5,4,5,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"bjp-mission-360","Mission 360 & The 2024 Retrospective: Campaign Strategy vs Election Reality","politics","2026-07-23T08:00:00Z",16,5,2,3,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-5g-rollout","India's 5G Revolution: 400 Million Subscribers and Still Waiting for the Killer App","technology","2026-08-12T06:00:00Z",12,5,4,5,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-ev-paradox","India's EV Paradox: Rising Sales, Stalled Charging, and the ₹4 Lakh Crore Battery Import Bill","environment","2026-08-15T06:00:00Z",14,5,4,5,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"ayushman-bharat","Ayushman Bharat: India's ₹30,000 Crore Bet on Universal Health Coverage","health","2026-08-10T06:00:00Z",13,5,3,4,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"electoral-bonds","Electoral Bonds: The ₹12,769 Crore Anonymous Donation Scheme the Supreme Court Struck Down","policy","2026-08-14T06:00:00Z",16,5,5,7,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"who-cancer-report-2026","Global Cancer Crisis: WHO Report Warns 35 Million Cases Per Year by 2050 Without Urgent Action","health","2026-07-08T10:00:00Z",14,4,8,8,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"us-iran-war-strait-of-hormuz","The Strait of Hormuz War: How the US-Iran Conflict Broke Global Energy Markets","geopolitics","2026-07-11T12:00:00Z",16,5,7,10,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"epf-scheme-2026","EPF Scheme 2026: India Replaces 74-Year-Old Retirement Law Under New Social Security Code","economy","2026-07-11T10:00:00Z",14,4,7,10,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"youth-mental-health-crisis","Youth Mental Health Crisis in India: Understanding Rising Suicide Rates","health","2026-07-11T12:00:00Z",12,5,7,10,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"gig-worker-rights","Gig Worker Rights in India: The Fight for Dignity in the Platform Economy","employment","2026-07-12T12:00:00Z",11,5,7,10,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"namami-gange-under-fire","Namami Gange: Inside India's ₹27,000 Crore Fight to Clean the Ganga — and the Communities It Left Behind","environment","2026-07-14T06:00:00Z",22,5,6,29,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"india-china-border-lac","The Cold Peace Along the LAC: Why the India–China Border Remains Unsettled After 75 Years","geopolitics","2026-07-15T06:00:00Z",18,4,7,6,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
"kashmir-the-first-test","Kashmir: The First Test — How the 1947–48 War Established a Conflict That Remains Unresolved 75 Years Later","geopolitics","2026-07-15T06:00:00Z",17,4,6,6,true,true,true,true,false,false,"REMEDIATED_PUBLISHED"
