targetPageUrl,primaryQueryCluster,searchIntentType,serpPositionHypothesis,ctrOptimizationTactic,contentDecision
/trackers/pmfby,"pmfby claim settlement delay reasons 2026",Tracking / Regulatory,Position 4-10,Exact ₹31,450 Cr metric & 12% penal interest in meta title,SCALE
/story/pm-fasal-bima-claims,"pmfby cag report 2024 performance audit",Exploratory / Investigative,Position 1-5,Direct-answer orientation box citing Report No. 14 of 2024,SCALE
/trackers/upi,"upi transaction volume decadal growth 2026",Tracking / Data,Position 4-10,Interactive 10-year chart + accessible HTML table preview,SCALE
/story/digital-payments-boom,"upi 123pay limit 10000 circular 2024",Regulatory / Legal,Position 1-5,Direct explanation of RBI Statement Oct 2024 and SDRP circular,SCALE
/trackers/mgnrega,"mgnrega budget allocation 2026 live tracker",Tracking / Status,Position 4-10,20-year budget time series + state person-day ledger,SCALE
/story/mgnrega-reform,"vb-g ram g act 2025 mgnrega 125 days",Statutory / Policy,Position 1-5,Side-by-side transition comparison and Gazette No. 18 citation,SCALE
/trackers/semiconductor,"india semiconductor mission plant status 2026",Tracking / Industrial,Position 4-10,Commercial production markers & ₹76,000 Cr outlay ledger,SCALE
/story/semiconductor-pli,"semiconductor pli outlay guidelines dholera",Industrial / Strategy,Position 4-10,Cabinet decisions breakdown & fab construction timelines,SCALE
/trackers,"policy trackers india public welfare schemes",Hub / Directory,Position 1-10,4-Tracker directory card grid with live operational badges,SCALE
/topic/economy,"indian economic policy explainers and trackers",Topic Hub,Position 1-10,Integrated policy trackers + cornerstone investigative stories,SCALE
