CLAIMS DATA
============

canonical_id | confidence | human_review_status | publication_status | created_at | statement preview
------------- | ----------- | ------------------- | ------------------ | ---------- | ------------------
CLM-AMD-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:05 GMT+0530 (India Standard Time) | The Union Cabinet approved Ahmedabad Metro Phase-1 in October 2014 at a sanction...
CLM-AMD-002 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:05 GMT+0530 (India Standard Time) | The total project cost was revised upward to ₹12,900 crore with JICA providing 4...
CLM-AMD-003 | C2 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:06 GMT+0530 (India Standard Time) | As of July 2020, expenditure on Phase 1 stood at ₹7,565.24 crore against the ori...
CLM-ESH-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:20 GMT+0530 (India Standard Time) | In the 2023 Meghalaya Assembly election, NPP candidate Ampareen Lyngdoh won East...
CLM-GOR-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:44 GMT+0530 (India Standard Time) | The Union Cabinet approved AIIMS Gorakhpur at a cost of ₹1,011 crore. The 300-be...
CLM-GOR-002 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:44 GMT+0530 (India Standard Time) | The AIIMS Gorakhpur inauguration was part of a larger package of three projects ...
CLM-HAM-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:16 GMT+0530 (India Standard Time) | In the 2022 Himachal Pradesh Assembly election, independent candidate Ashish Sha...
CLM-HAM-002 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:16 GMT+0530 (India Standard Time) | After joining BJP, Ashish Sharma won the July 2024 bypoll by 1,571 votes against...
CLM-JAL-001 | C1 | APPROVED | DRAFT | Wed Jul 22 2026 11:49:40 GMT+0530 (India Standard Time) | The Supreme Court (2025 INSC 1503, Civil Appeal No. 14112/2024) upheld the Rajas...
CLM-KHU-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:36 GMT+0530 (India Standard Time) | In the 2024 Jharkhand Assembly election, JMM candidate Ram Surya Munda won Khunt...
CLM-KHU-002 | C2 | APPROVED | DRAFT | Wed Jul 22 2026 11:49:36 GMT+0530 (India Standard Time) | As of 2024, Jharkhand had not implemented PESA Rules despite 26 years since the ...
CLM-LAL-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:32 GMT+0530 (India Standard Time) | In the 2022 UP Assembly election, SP candidate Bechai Saroj won Lalganj (SC) wit...
CLM-LKO-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:49 GMT+0530 (India Standard Time) | The Union Cabinet approved Lucknow Metro Phase-1A at a cost of ₹6,928 crore cove...
CLM-LKO-002 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:49 GMT+0530 (India Standard Time) | The European Investment Bank provided a loan of €450 million (approximately ₹3,5...
CLM-MUM-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:11 GMT+0530 (India Standard Time) | The Mumbai Coastal Road (Dharmveer Sambhaji Maharaj Coastal Road) was partially ...
CLM-MUM-002 | C2 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:12 GMT+0530 (India Standard Time) | The project cost escalated from the original ₹12,721 crore projection to ₹13,983...
CLM-PIT-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:23 GMT+0530 (India Standard Time) | On October 12, 2023, the Prime Minister inaugurated and laid foundation stones f...
CLM-PIT-002 | C2 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:23 GMT+0530 (India Standard Time) | Pithoragarh Medical College is under construction at an investment exceeding ₹75...
CLM-TAW-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:28 GMT+0530 (India Standard Time) | The central government sanctioned ₹28,229 crore for the 1,637 km Arunachal Front...
CLM-TAW-002 | C2 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:29 GMT+0530 (India Standard Time) | The Army has significantly upgraded infrastructure in the Tawang sector along th...
CLM-VAR-001 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:00 GMT+0530 (India Standard Time) | The Kashi Vishwanath Corridor project was inaugurated on December 13, 2021 at a ...
CLM-VAR-002 | C1 | UNREVIEWED | DRAFT | Wed Jul 22 2026 11:49:00 GMT+0530 (India Standard Time) | The total project cost was approximately ₹800 crore, with half allocated to land...
