slug,title,status,lastVerified,ageDays,severity,reasons,recommendedAction
mgnrega-reform,"MGNREGA 2026: The 125-Day Rural Employment Guarantee Explained",CURRENT,2026-07-23T10:00:00Z,37,NONE,"","No action needed"
digital-payments-boom,"Digital Payments in Rural India: UPI's Unseen Revolution",CURRENT,2026-06-12T08:00:00Z,78,NONE,"","No action needed"
pm-fasal-bima-claims,"PM Fasal Bima Yojana: The Claims That Never Reached Farmers",CURRENT,2026-06-05T06:00:00Z,85,NONE,"","No action needed"
semiconductor-pli,"India's Semiconductor Push: Program Outlay, Project Investment & Commercial OSAT Debut",CURRENT,2026-08-30T00:00:00Z,0,NONE,"","No action needed"
dpdp-bill,"Digital Personal Data Protection: India's Privacy Law Comes of Age",CURRENT,2026-07-05T08:00:00Z,55,NONE,"","No action needed"
rbi-repo-rate,"RBI Repo Rate: Decoding Monetary Policy & Rate Easing Cycle",CURRENT,2026-07-23T06:00:00Z,37,NONE,"","No action needed"
climate-finance,"India's ₹11 Lakh Crore Climate Finance Challenge",CURRENT,2026-07-10T06:00:00Z,50,NONE,"","No action needed"
education-budget,"Education Budget: Widening Gap Between Spending and Learning Outcomes",CURRENT,2026-07-14T06:00:00Z,46,NONE,"","No action needed"
groundwater-depletion,"India's Groundwater Crisis: North-West Agricultural Belt Stressed as CGWB 2025 Assessment Tracks 449 BCM Recharge",CURRENT,2026-07-23T06:00:00Z,37,NONE,"","No action needed"
ration-digitization,"Digitizing PDS: How Technology Plugged the Leakage in India's Food Security Net",CURRENT,2026-07-22T06:00:00Z,38,NONE,"","No action needed"
anganwadi-icds,"Anganwadi Centres: India's Frontline Nutrition Workers Are Burning Out",CURRENT,2026-07-24T06:00:00Z,36,NONE,"","No action needed"
supply-chain-shift,"The Great Supply Chain Shift: Can India Capture the China+1 Opportunity?",CURRENT,2026-07-24T06:00:00Z,36,NONE,"","No action needed"
ethanol-backlash,"E20 Backlash: India's Ethanol Push and the Consumer Revolt That Followed",CURRENT,2026-07-24T06:00:00Z,36,NONE,"","No action needed"
ews-quota-upsc-investigation,"Who Really Gets the EWS Quota? An Investigation into UPSC's 104 Selections",CURRENT,2026-07-24T06:00:00Z,36,NONE,"","No action needed"
us-iran-relations,"US-Iran Relations: From Maximum Pressure to Nuclear Negotiations",CURRENT,2026-07-18T06:00:00Z,42,NONE,"","No action needed"
indian-education-crisis,"India's Education Paradox: Rising Enrolment, Falling Learning — What Went Wrong?",CURRENT,2026-07-22T06:00:00Z,38,NONE,"","No action needed"
income-inequality-india,"Income Inequality in India: The Top 1% Now Owns 40% of the Wealth",CURRENT,2026-07-26T06:00:00Z,34,NONE,"","No action needed"
india-china-border-tensions,"India-China Border: Galwan and the Standoff Four Years On",CURRENT,2026-07-30T06:00:00Z,30,NONE,"","No action needed"
indias-foreign-policy,"India's Foreign Policy at 80: From Non-Alignment to Multi-Alignment",CURRENT,2026-08-05T06:00:00Z,24,NONE,"","No action needed"
satluj-ban,"The Satluj Files: Censored, Released, Removed — The 48-Hour Life of India's Most Controversial Film",CURRENT,2026-07-08T06:00:00Z,52,NONE,"","No action needed"
india-us-relations,"India-US Relations: From Nuclear Deal to Critical Technology Partnership",CURRENT,2026-08-15T10:00:00Z,14,NONE,"","No action needed"
india-indonesia-relations,"India-Indonesia: How Maritime Neighbours Are Reshaping the Indo-Pacific",CURRENT,2026-08-18T10:00:00Z,11,NONE,"","No action needed"
india-china-relations,"India-China: Two Asian Giants in an Era of Mistrust and Strategic Rivalry",CURRENT,2026-08-20T10:00:00Z,9,NONE,"","No action needed"
india-europe-relations,"India and Europe: A Strategic Partnership Searching for Substance",CURRENT,2026-08-22T10:00:00Z,7,NONE,"","No action needed"
india-uk-relations,"India-UK Relations: Beyond Colonial History to a Modern Strategic Partnership",CURRENT,2026-08-23T10:00:00Z,6,NONE,"","No action needed"
india-russia-relations,"India-Russia: The Enduring Partnership Tested by War and Realignment",CURRENT,2026-08-25T10:00:00Z,4,NONE,"","No action needed"
81-crore-data-breach,"81.5 Crore Aadhaar Records Exposed: Inside India's Biggest Data Breach",CURRENT,2026-07-09T08:00:00Z,51,NONE,"","No action needed"
bjp-mission-360,"Mission 360 & The 2024 Retrospective: Campaign Strategy vs Election Reality",CURRENT,2026-07-23T08:00:00Z,37,NONE,"","No action needed"
india-5g-rollout,"India's 5G Revolution: 400 Million Subscribers and Still Waiting for the Killer App",CURRENT,2026-08-12T06:00:00Z,17,NONE,"","No action needed"
