id,pilot_slug,decision,action_taken,evidence,status
PER-01,mgnrega-reform,ACTIVATE — visibility restored + entity coverage,Assigned impactLevel=high; verified In Focus + Latest on economy/employment/agriculture hubs; dossier /entity/mgnrega + /entity/ministry-of-rural-development now live and link the story.,crawl: economy shows mgnrega-reform via recommended section; entity pages 200 with Related Coverage.,COMPLETE
PER-02,digital-payments-boom,ACTIVATE — visibility restored + content refreshed,Assigned impactLevel=high; verified on economy + digital-payments hubs; FAQ for feature-phone entry updated with NPCI/RBI UPI123Pay ₹10,000 limit.,05-npci-source-validation.md (RBI SDRP 9 Oct 2024; NPCI UPI OC No. 209 FY 24-25; compliance 1 Jan 2025).,COMPLETE
PER-03,pm-fasal-bima-claims,ACTIVATE — visibility restored,Assigned impactLevel=high; verified In Focus on policy/ agriculture/governance hubs; dossier /entity/cag + /entity/ministry-of-agriculture link the investigation.,crawl: policy shows fasal-bima; entity coverage expanded to 2 stories each.,COMPLETE
PER-04,climate-finance,ACTIVATE — visibility restored + fresh-knowledge added,Assigned impactLevel=high; verified on environment + geopolitics hubs (Deep Research for 90+ evidenceScore); COP29 NCQG FAQ added (US$300bn by 2035; US$1.3tn call).,06-unfccc-source-validation.md (decision 1/CMA.6).,COMPLETE
PER-05,ews-quota-upsc-investigation,ACTIVATE — visibility restored,Assigned impactLevel=critical; verified In Focus on policy + education hubs.,crawl: policy + education show ews-quota-upsc-investigation.,COMPLETE
PER-06,india-china-border-tensions,ACTIVATE — visibility restored; VISUAL ASSET HOLD,Assigned impactLevel=critical; verified In Focus + Important Developments on geopolitics; dossier via /entity/un,/entity/india. heroImage defect and missing asset logged — do not publish the visual bundle until audited asset acquired.,07-data-quality.csv (two OPEN rows); cartographic policy (docs/assets) governs replacement.,COMPLETE (content) / OPEN (visual)
PER-07,81-crore-data-breach,ACTIVATE — visibility restored,Assigned impactLevel=critical; verified In Focus on cybersecurity + technology hubs; dossiers /entity/uidai,/entity/icmr,/entity/cert-in link the story.,crawl: tech + cybersecurity hubs surface the breach story.,COMPLETE
CRE-01,topic hub expiry (HUBLK),RESOLVED — deterministic model,Replaced latest.slice(0,4) render with 5-section deduped model (In Focus/Latest/Deep Research/Important/Archive) in app/topic/[slug]/page.tsx.,08-topic-hub-spec.md; crawl of 15 hubs shows sections render and pilots surface.,COMPLETE
CRE-02,impactLevel unset site-wide,RESOLVED — pilot metadata completed,7 pilot stories carry impactLevel (high/critical); 'important' group non-empty (verified on geopolitics).,Code + crawl.,COMPLETE
CRE-03,entity pages below TASK-04 gate,RESPECT GATE — no bypass,6 entities enriched to legitimate eligibility (npci/mgnrega/cert-in/icmr/uidai/mord); 11 entities intentionally remain draft.,09-entity-review.csv,COMPLETE
CRE-04,usageGraph empty arrays mask relatedStories,NOTED — documented,Code guard (`length>0`) means the mask does not hide stories; added clear note only. Real graph ingress is an ACP item, not LPA sprint work.,09-entity-review.csv policy note,COMPLETE (note only)
CRE-05,error PR: MoRD fell 2 words short of gate,RESOLVED — description quality,Extended to 111 words (meaning-bearing expansion, not padding).,09-entity-review.csv,COMPLETE
CRE-06,incorrect heroImage on india-china,FLAG — do not auto-fix,No eligible assertion; kept in place as flag (fixing to a non-existent path would be worse). Action: acquire licencable asset.,07-data-quality.csv,OPEN
CRE-07,pilot to dossier navigation missing,RESOLVED — Related Coverage block,added relatedStories to terminal view-model + Related Coverage links in EntityTerminal; crawl confirms pilots link from their dossiers.,04-pilot-discoverability.csv,COMPLETE
CRE-08,resecurity promotion,NO — evidence insufficient,billing as Indian-origin EDR vendor not strong enough to promote above-gate; remains draft (404/noindex).,09-entity-review.csv,COMPLETE
CNT-HP-02,UPI123Pay content,UPDATE — evidence-backed,Enriched FAQ with ₹5k→₹10k limit + compliance timeline.,05-npci-source-validation.md,COMPLETE
CNT-HP-07,COP29 NCQG content,UPDATE — evidence-backed,Added NCQG FAQ (decision 1/CMA.6; US$300bn/US$1.3tn; replaces $100bn).,06-unfccc-source-validation.md,COMPLETE
