Opportunity ID,Query,Story / URL,Decision,Evidence (this cycle),Rationale,Status,Next Action
OPP-01,mgnrega budget 2026,CNT-HP-01 /story/mgnrega-reform,REFINE (title shipped) + SCALE core,"Rendered title revised to 63 chars (EXP-02); content strong (125-day transition); topic hub agriculture/employment/policy OK; economy hub does not surface it; budget-allocation detail not present",Query implies *budget*; page explains guarantee transition. Cover the 2026-27 allocation/outlay with a verified source; keep the strong narrative core.,ACTIVE — EXP-02 shipped; allocation block pending sources
OPP-02,upi transaction limit rural,CNT-HP-02 /story/digital-payments-boom,REFINE (content),"0 x ''limit'' across story data model; TASK-06 ''Approved UPDATE'' never shipped; hubs: digital-payments OK, technology not surfacing",Title change without content would be clickbait; the query is unsatisfied today.,BLOCKED — needs verified NPCI feature-phone/UPI123 limit docs
OPP-03,india china border dispute galwan map,CNT-HP-03 /story/india-china-border-tensions,REFINE (title shipped) + format,"Title shortened to 57 chars (EXP-03); no GIS map verified in story data; geopolitics+policy hubs do not surface it; no related-story link emitted",Query token ''map'' is a format expectation — add/verify a map block (asset register discipline); shorten handled.,ACTIVE — EXP-03 shipped; map + hub surfacing pending
OPP-04,pm fasal bima yojana claims data,CNT-HP-04 /story/pm-fasal-bima-claims,SCALE (keep),"Title already nails intent; content = evidence-backed investigation (evidenceScore 97); agriculture hub surfaces it; policy hub does not",Content satisfies the Data intent today; add structured claims table when refreshed.,KEEP — refresh cadence in 05-refresh-backlog.csv
OPP-05,ews reservation eligibility upsc,CNT-HP-05 /story/ews-quota-upsc-investigation,SCALE (keep),"Highest opportunity score (10000); title answers eligibility intent; education+policy hubs surface it; fresh (2026-07-24)",Flagship candidate; do not churn title/format.,KEEP — monitor eligibility rule changes
OPP-06,aadhaar data breach icmr report,CNT-HP-06 /story/81-crore-data-breach,SCALE (keep) + entity gap,"Title strong; cybersecurity+technology hubs surface it; ICMR/UIDAI/CERT-In have NO entity pages; DPDP sibling cross-linked",Content satisfies Document intent; add entity terminals (ENT-01) to strengthen graph.,KEEP — ENT-01 pending
OPP-07,india us relations trade agreements,(story india-us-relations),DEFER,"Outside pilot cohort this cycle; no published-page verification performed; GSC baselines absent",Not enough verified evidence to act. Re-evaluate next cycle.,DEFER — needs published-page existence + baselines
OPP-08,rbi repo rate hikes 2026 inflation,(story rbi-repo-rate),DEFER,"Monitoring/tracker intent; no pilot baselines; canary story exists but not in cohort",Trackers need a measurement loop first (GSC).,DEFER — re-evaluate after GSC
OPP-09,climate finance commitments cop29 india,CNT-HP-07 /story/climate-finance,REFINE (content),"0 x COP29/NCQG in data model; environment+geopolitics hubs do not surface it; title omits COP by design",Query about international commitments is unsatisfied; add COP29/COP30 NCQG + India NDC financing coverage.,BLOCKED — needs verified UNFCCC/NDC sources
OPP-10,anganwadi workers salary hike statewise,(story anganwadi-icds),DEFER,"Outside pilot cohort; Comparative intent; no published-page verification",Out of scope this cycle.,DEFER — re-evaluate after GSC
