URL Type,URL Path,Canonical Tag Present,Canonical matches URL,Canonical is Absolute,Status
Static Page,/,YES,YES,YES,PASS
Static Page,/series,YES,YES,YES,PASS
Static Page,/topics,YES,YES,YES,PASS
Static Page,/entities,YES,YES,YES,PASS
Static Page,/organizations,YES,YES,YES,PASS
Static Page,/countries,YES,YES,YES,PASS
Static Page,/founding-edition,YES,YES,YES,PASS
Static Page,/methodology,YES,YES,YES,PASS
Static Page,/trust,YES,YES,YES,PASS
Static Page,/editorial-constitution,YES,YES,YES,PASS
Static Page,/data,YES,YES,YES,PASS
Story Article,/story/mgnrega-reform,YES,YES,YES,PASS
Story Article,/story/digital-payments-boom,YES,YES,YES,PASS
Story Article,/story/pm-fasal-bima-claims,YES,YES,YES,PASS
Story Article,/story/semiconductor-pli,YES,YES,YES,PASS
Story Article,/story/dpdp-bill,YES,YES,YES,PASS
Story Article,/story/rbi-repo-rate,YES,YES,YES,PASS
Story Article,/story/climate-finance,YES,YES,YES,PASS
Story Article,/story/education-budget,YES,YES,YES,PASS
Story Article,/story/groundwater-depletion,YES,YES,YES,PASS
Story Article,/story/ration-digitization,YES,YES,YES,PASS
Story Article,/story/anganwadi-icds,YES,YES,YES,PASS
Story Article,/story/supply-chain-shift,YES,YES,YES,PASS
Story Article,/story/ethanol-backlash,YES,YES,YES,PASS
Story Article,/story/ews-quota-upsc-investigation,YES,YES,YES,PASS
Story Article,/story/us-iran-relations,YES,YES,YES,PASS
Story Article,/story/indian-education-crisis,YES,YES,YES,PASS
Story Article,/story/income-inequality-india,YES,YES,YES,PASS
Story Article,/story/india-china-border-tensions,YES,YES,YES,PASS
Story Article,/story/indias-foreign-policy,YES,YES,YES,PASS
Story Article,/story/satluj-ban,YES,YES,YES,PASS
Story Article,/story/india-us-relations,YES,YES,YES,PASS
Story Article,/story/india-indonesia-relations,YES,YES,YES,PASS
Story Article,/story/india-china-relations,YES,YES,YES,PASS
Story Article,/story/india-europe-relations,YES,YES,YES,PASS
Story Article,/story/india-uk-relations,YES,YES,YES,PASS
Story Article,/story/india-russia-relations,YES,YES,YES,PASS
Story Article,/story/81-crore-data-breach,YES,YES,YES,PASS
Story Article,/story/bjp-mission-360,YES,YES,YES,PASS
Story Article,/story/india-5g-rollout,YES,YES,YES,PASS
Story Article,/story/india-ev-paradox,YES,YES,YES,PASS
Story Article,/story/ayushman-bharat,YES,YES,YES,PASS
Story Article,/story/electoral-bonds,YES,YES,YES,PASS
Story Article,/story/who-cancer-report-2026,YES,YES,YES,PASS
Story Article,/story/us-iran-war-strait-of-hormuz,YES,YES,YES,PASS
Story Article,/story/epf-scheme-2026,YES,YES,YES,PASS
Story Article,/story/youth-mental-health-crisis,YES,YES,YES,PASS
Story Article,/story/gig-worker-rights,YES,YES,YES,PASS
Story Article,/story/namami-gange-under-fire,YES,YES,YES,PASS
Story Article,/story/india-china-border-lac,YES,YES,YES,PASS
Story Article,/story/kashmir-the-first-test,YES,YES,YES,PASS
Story Article,/story/ng-ch-01-the-promise,YES,YES,YES,PASS
Story Article,/story/ng-ch-02-follow-the-money,YES,YES,YES,PASS
Story Article,/story/ng-ch-03-the-sewage-problem,YES,YES,YES,PASS
Story Article,/story/ng-ch-04-the-audit-trail,YES,YES,YES,PASS
Story Article,/story/ng-ch-05-procurement-and-accountability,YES,YES,YES,PASS
Story Article,/story/ng-ch-06-why-stps-dont-work,YES,YES,YES,PASS
Story Article,/story/ng-ch-07-water-quality,YES,YES,YES,PASS
Story Article,/story/ng-ch-08-city-report-cards,YES,YES,YES,PASS
Story Article,/story/ng-ch-09-contractors,YES,YES,YES,PASS
Story Article,/story/ng-ch-10-timeline-of-delays,YES,YES,YES,PASS
Story Article,/story/ng-ch-11-ecology,YES,YES,YES,PASS
Story Article,/story/ng-ch-12-voices-from-the-river,YES,YES,YES,PASS
Story Article,/story/ng-ch-13-government-response,YES,YES,YES,PASS
Story Article,/story/ng-ch-14-what-worked,YES,YES,YES,PASS
Story Article,/story/ng-ch-15-recommendations,YES,YES,YES,PASS
Chapter Series Path,/series/foundations-1947-1962/volume/the-nehruvian-era/chapter/indias-inheritance,YES,YES,YES,PASS
