Opportunity ID,Query,Intent,Pillar,Topic,Entity,Existing URL,Recommended URL,Current SERP competitors,Search demand,Ranking feasibility,Strategic fit,Evergreen value,Authority value,Monetization relevance,Evidence advantage,Content format,Opportunity score,Priority,Status
OPP-01,mgnrega budget 2026,Policy,Policy & Governance,employment,mgnrega,/story/mgnrega-reform,/series/economic-policy-2026/volume/structural-reforms/chapter/mgnrega-reform,"mord.gov.in, moneycontrol, news18",NOT VERIFIED (Est: 5/5),4/5,5/5,4/5,4/5,3/5,5/5,Evergreen Explainer,8000,High,Planned
OPP-02,upi transaction limit rural,Explanatory,"Economy, Technology & Systems",technology,npci,/story/digital-payments-boom,/story/digital-payments-boom,"npci.org.in, phonepe, paytm",NOT VERIFIED (Est: 4/5),4/5,5/5,4/5,4/5,4/5,5/5,Deep Research,6400,High,Planned
OPP-03,india china border dispute galwan map,Causal,India & the World,border-tensions,china,/story/india-china-border-tensions,/story/india-china-border-tensions,"idsa.in, foreignpolicy, thehindu",NOT VERIFIED (Est: 4/5),3/5,5/5,5/5,5/5,2/5,5/5,Timelines,7500,High,Planned
OPP-04,pm fasal bima yojana claims data,Data,Policy & Governance,agriculture,cag,/story/pm-fasal-bima-claims,/story/pm-fasal-bima-claims,"pmfby.gov.in, agri-ministry, businessstandard",NOT VERIFIED (Est: 4/5),4/5,5/5,4/5,4/5,3/5,5/5,Data Pages,6400,High,Planned
OPP-05,ews reservation eligibility upsc,Policy,Policy & Governance,reservation,upsc,/story/ews-quota-upsc-investigation,/story/ews-quota-upsc-investigation,"upsc.gov.in, drishtiias, clearias",NOT VERIFIED (Est: 5/5),4/5,5/5,4/5,5/5,2/5,5/5,Deep Research,10000,High,Planned
OPP-06,aadhaar data breach icmr report,Document,"Economy, Technology & Systems",cybersecurity,icmr,/story/81-crore-data-breach,/story/81-crore-data-breach,"cert-in, resecurity, techcrunch",NOT VERIFIED (Est: 4/5),4/5,5/5,3/5,5/5,3/5,5/5,Document Pages,6000,High,Planned
OPP-07,india us relations trade agreements,Policy,India & the World,bilateral,un,/story/india-us-relations,/story/india-us-relations,"mea.gov.in, state.gov, cfr",NOT VERIFIED (Est: 4/5),3/5,5/5,5/5,4/5,3/5,4/5,Evergreen Explainer,4800,High,Planned
OPP-08,rbi repo rate hikes 2026 inflation,Monitoring,"Economy, Technology & Systems",inflation,rbi,/story/rbi-repo-rate,/story/rbi-repo-rate,"rbi.org.in, livemint, bloombergquint",NOT VERIFIED (Est: 5/5),4/5,4/5,3/5,4/5,4/5,4/5,Trackers,3840,High,Planned
OPP-09,climate finance commitments cop29 india,Explanatory,India & the World,environment,unfccc,/story/climate-finance,/story/climate-finance,"unfccc.int, downtoearth, wrirural",NOT VERIFIED (Est: 4/5),3/5,5/5,5/5,4/5,3/5,5/5,Deep Research,6000,High,Planned
OPP-10,anganwadi workers salary hike statewise,Comparative,Policy & Governance,welfare,mwcd,/story/anganwadi-icds,/story/anganwadi-icds,"mwcd.nic.in, financialexpress",NOT VERIFIED (Est: 4/5),4/5,5/5,4/5,4/5,2/5,5/5,Comparisons,6400,High,Planned
