source,target,type
"mgnrega-reform","https://egazette.gov.in","references"
"mgnrega-reform","https://rural.gov.in","references"
"mgnrega-reform","mgnrega-reform-claim-0","references"
"hash-353221028","mgnrega-reform-claim-0","refutes"
"hash-353221028","hash-799646981","cites"
"mgnrega-reform","mgnrega-reform-claim-1","references"
"hash-901998877","mgnrega-reform-claim-1","verifies"
"hash-901998877","hash-94718953","cites"
"digital-payments-boom","https://npci.org.in","references"
"digital-payments-boom","digital-payments-boom-claim-0","references"
"hash-714299001","digital-payments-boom-claim-0","refutes"
"hash-714299001","hash-1225450197","cites"
"digital-payments-boom","claim.upi.upi123pay-limit","references"
"hash-185957072","claim.upi.upi123pay-limit","verifies"
"hash-185957072","hash-1896495542","cites"
"pm-fasal-bima-claims","https://cag.gov.in","references"
"pm-fasal-bima-claims","hash-596819635","references"
"pm-fasal-bima-claims","pm-fasal-bima-claims-claim-0","references"
"hash-848265715","pm-fasal-bima-claims-claim-0","verifies"
"hash-848265715","hash-1754845921","cites"
"pm-fasal-bima-claims","pm-fasal-bima-claims-claim-1","references"
"hash-1991673111","pm-fasal-bima-claims-claim-1","verifies"
"hash-1991673111","hash-1728660641","cites"
"semiconductor-pli","https://pib.gov.in","references"
"semiconductor-pli","https://ism.gov.in","references"
"semiconductor-pli","https://meity.gov.in","references"
"semiconductor-pli","semiconductor-pli-claim-0","references"
"hash-360644479","semiconductor-pli-claim-0","refutes"
"hash-360644479","hash-1007551816","cites"
"semiconductor-pli","semiconductor-pli-claim-1","references"
"hash-1679117698","semiconductor-pli-claim-1","verifies"
"hash-1679117698","hash-2057123816","cites"
"semiconductor-pli","semiconductor-pli-claim-2","references"
"hash-1962892083","semiconductor-pli-claim-2","refutes"
"hash-1962892083","hash-1052047729","cites"
"dpdp-bill","https://meity.gov.in/dpdp","references"
"dpdp-bill","https://prsindia.org","references"
"dpdp-bill","dpdp-bill-claim-0","references"
"hash-630428233","dpdp-bill-claim-0","refutes"
"hash-630428233","hash-1415039829","cites"
"dpdp-bill","dpdp-bill-claim-1","references"
"hash-314994576","dpdp-bill-claim-1","verifies"
"hash-314994576","hash-2140170000","cites"
"rbi-repo-rate","https://rbi.org.in","references"
"rbi-repo-rate","https://rbi.org.in/mpc","references"
"rbi-repo-rate","rbi-repo-rate-claim-0","references"
"hash-366453675","rbi-repo-rate-claim-0","verifies"
"hash-366453675","hash-11762477","cites"
"rbi-repo-rate","rbi-repo-rate-claim-1","references"
"hash-811484445","rbi-repo-rate-claim-1","verifies"
"hash-811484445","hash-2044481842","cites"
"climate-finance","https://mnre.gov.in","references"
"climate-finance","https://ceew.in","references"
"climate-finance","climate-finance-claim-0","references"
"hash-341849039","climate-finance-claim-0","refutes"
"hash-341849039","hash-1601424101","cites"
"climate-finance","climate-finance-claim-1","references"
"hash-2047107517","climate-finance-claim-1","verifies"
"hash-2047107517","hash-311144513","cites"
"climate-finance","claim.climate.cop29-ncqg-finance","references"
"hash-73708761","claim.climate.cop29-ncqg-finance","verifies"
"hash-73708761","hash-777138311","cites"
"education-budget","https://indiabudget.gov.in","references"
"education-budget","https://indiabudget.gov.in/economicsurvey","references"
"groundwater-depletion","https://cgwb.gov.in","references"
"groundwater-depletion","https://nasa.gov","references"
"groundwater-depletion","groundwater-depletion-claim-0","references"
"hash-84335339","groundwater-depletion-claim-0","refutes"
"hash-84335339","hash-713356381","cites"
"groundwater-depletion","groundwater-depletion-claim-1","references"
"hash-97078302","groundwater-depletion-claim-1","verifies"
"hash-97078302","hash-1287116574","cites"
"ration-digitization","https://consumeraffairs.gov.in","references"
"ration-digitization","https://worldbank.org","references"
"ration-digitization","ration-digitization-claim-0","references"
"hash-399000610","ration-digitization-claim-0","refutes"
"hash-399000610","hash-1601424101","cites"
"ration-digitization","ration-digitization-claim-1","references"
"hash-1906016281","ration-digitization-claim-1","verifies"
"hash-1906016281","hash-859986552","cites"
"anganwadi-icds","https://wcd.gov.in","references"
"anganwadi-icds","https://cag.gov.in","references"
"anganwadi-icds","anganwadi-icds-claim-0","references"
